accident_index,accident_year,accident_reference,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location
2022010352631,2022,010352631,527702,175883,-0.162933,51.467517,1,3,2,1,01/01/2022,7,15:06,-1,E09000032,E09000032,3,3220,6,30,0,-1,0,-1,0,0,1,1,1,0,0,1,1,2,E01004585
2022010352635,2022,010352635,536123,178502,-0.040765,51.489091,1,2,1,1,01/01/2022,7,21:45,-1,E09000023,E09000023,3,200,6,20,3,4,6,0,0,4,4,1,1,0,0,1,1,2,E01003247
2022010352637,2022,010352637,538618,176708,-0.005556,51.472364,1,3,2,1,01/01/2022,7,21:00,-1,E09000023,E09000023,3,2,6,30,3,4,3,2,0,4,4,1,1,0,0,1,1,2,E01003204
2022010352641,2022,010352641,536558,199949,-0.026169,51.681709,1,1,3,3,01/01/2022,7,22:45,-1,E09000010,E09000010,1,25,3,70,0,-1,0,-1,0,0,6,1,1,0,0,2,1,1,E01001445
2022010352644,2022,010352644,533459,176337,-0.07993,51.47027,1,3,3,2,02/01/2022,1,02:31,-1,E09000028,E09000028,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,2,E01003914
2022010352645,2022,010352645,537850,183079,-0.014119,51.529802,1,3,2,2,01/01/2022,7,22:29,-1,E09000030,E09000030,3,12,1,30,1,2,3,12,0,0,4,1,1,0,0,1,1,2,E01032764
2022010352651,2022,010352651,534715,182691,-0.059434,51.527071,1,3,2,1,02/01/2022,1,12:47,-1,E09000030,E09000030,3,1209,6,30,9,4,6,0,0,5,1,1,1,0,0,1,1,2,E01004203
2022010352653,2022,010352653,520378,181215,-0.266502,51.517042,1,3,1,1,02/01/2022,1,13:30,-1,E09000009,E09000009,3,4000,1,20,1,4,5,0,0,1,1,2,2,5,0,1,1,2,E01001196
2022010352654,2022,010352654,526184,191875,-0.179047,51.611575,1,3,1,1,02/01/2022,1,13:07,-1,E09000003,E09000003,6,0,6,30,3,4,3,598,0,0,1,2,2,0,0,1,1,2,E01000302
2022010352655,2022,010352655,515638,188642,-0.332344,51.584781,1,3,1,2,02/01/2022,1,14:51,-1,E09000015,E09000015,3,409,6,30,0,-1,0,-1,0,5,1,1,2,0,0,1,1,2,E01002130
2022010352656,2022,010352656,526225,181289,-0.182253,51.516432,1,3,2,1,02/01/2022,1,14:00,-1,E09000033,E09000033,5,0,6,20,0,-1,0,-1,0,5,1,2,2,0,0,1,1,2,E01004696
2022010352658,2022,010352658,541130,190120,0.035959,51.592261,1,3,3,1,02/01/2022,1,16:49,-1,E09000026,E09000026,3,113,3,30,0,-1,0,-1,0,0,4,1,1,0,0,1,1,2,E01003765
2022010352661,2022,010352661,522942,183195,-0.228878,51.534284,1,2,2,1,02/01/2022,1,18:30,-1,E09000005,E09000005,6,0,6,30,0,-1,0,-1,0,0,4,1,2,0,0,1,1,2,E01000531
2022010352662,2022,010352662,509892,178305,-0.418468,51.493021,1,3,4,5,02/01/2022,1,15:22,-1,E09000017,E09000017,1,4,7,50,0,-1,0,-1,0,0,1,2,2,0,0,1,1,1,E01002491
2022010352664,2022,010352664,529791,182593,-0.13041,51.527343,1,3,2,1,02/01/2022,1,18:27,-1,E09000007,E09000007,3,501,3,30,6,2,3,4200,0,0,4,1,1,0,0,1,1,2,E01000942
2022010352665,2022,010352665,540669,185009,0.027264,51.54645,1,3,1,1,02/01/2022,1,19:40,-1,E09000025,E09000025,3,118,6,30,6,2,6,0,0,5,4,1,1,0,0,1,1,2,E01003570
2022010352666,2022,010352666,529936,181052,-0.128888,51.513461,1,2,2,1,02/01/2022,1,19:30,-1,E09000033,E09000033,3,401,6,20,6,2,3,400,2,5,4,8,2,0,0,1,1,2,E01000919
2022010352667,2022,010352667,513706,172968,-0.365268,51.4443,1,3,2,1,02/01/2022,1,17:19,-1,E09000027,E09000027,5,0,3,30,9,2,4,358,0,4,4,1,1,0,0,1,1,2,E01003845
2022010352668,2022,010352668,508827,176915,-0.43423,51.480734,1,3,1,1,02/01/2022,1,18:20,-1,E09000017,E09000017,3,4,3,40,7,2,3,437,0,5,4,9,2,0,0,1,1,2,E01002449
2022010352669,2022,010352669,528334,182077,-0.151589,51.523038,1,2,2,1,02/01/2022,1,19:22,-1,E09000033,E09000033,3,501,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,2,E01004717
2022010352674,2022,010352674,544072,185199,0.076384,51.5473,1,3,1,1,02/01/2022,1,15:30,-1,E09000026,E09000026,3,123,6,30,0,-1,0,-1,0,0,1,1,1,0,6,1,1,2,E01003734
2022010352679,2022,010352679,525055,178603,-0.200058,51.492552,1,3,2,1,02/01/2022,1,22:22,-1,E09000020,E09000020,3,4,2,30,6,2,3,3220,0,5,4,1,1,0,0,1,1,2,E01002848
2022010352680,2022,010352680,511420,182606,-0.395109,51.53138,1,3,2,1,02/01/2022,1,23:23,-1,E09000017,E09000017,6,0,6,30,0,-1,0,-1,0,0,7,8,1,0,0,1,1,2,E01002540
2022010352681,2022,010352681,538770,184160,-0.000439,51.539291,1,3,1,1,02/01/2022,1,22:45,-1,E09000025,E09000025,3,11,3,30,7,2,3,11,0,5,4,1,1,0,0,1,1,2,E01003619
2022010352682,2022,010352682,547588,168159,0.119944,51.393282,1,3,2,1,02/01/2022,1,21:50,-1,E09000006,E09000006,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,2,1,2,E01000721
2022010352683,2022,010352683,549656,175500,0.152743,51.458701,1,3,2,1,02/01/2022,1,23:45,-1,E09000004,E09000004,3,220,6,30,7,2,5,0,0,5,4,1,2,0,0,1,1,2,E01000330
2022010352684,2022,010352684,524516,163701,-0.213049,51.358744,1,3,2,4,02/01/2022,1,21:30,-1,E09000029,E09000029,3,232,3,30,6,2,3,217,0,5,4,1,2,0,0,1,1,2,E01004110
2022010352686,2022,010352686,534345,180700,-0.065523,51.509268,1,3,2,3,02/01/2022,1,22:14,-1,E09000030,E09000030,3,1203,3,40,3,4,6,0,0,4,4,1,1,0,0,1,1,2,E01004294
2022010352689,2022,010352689,534189,180674,-0.067779,51.509071,1,3,2,1,03/01/2022,2,03:25,-1,E09000030,E09000030,3,1203,6,30,6,2,3,1202,0,5,4,1,1,0,0,1,1,2,E01004294
